Region;Province;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
SULAWESI;Central Sulawesi;946.554;866.0841809;869.6084671;849.9456076;918.7355471;879.515214;954.278616;953.0112823;963.1473566;968.8527966;993.3245084;1089.355834;1120.341209;1033.47366;1073.682016;1060.913585
SULAWESI;South Sulawesi;995.516;893.4703559;886.1327704;876.7985654;926.6615369;905.7370057;1078.385966;1068.65008;1059.669716;1085.323162;1112.447219;1176.345669;1382.603403;1340.173972;1429.043369;1452.372789
SULAWESI;Southeast Sulawesi;1119.692;909.2127244;837.6267069;810.6321916;914.431653;912.3523323;1062.022547;1034.071648;1038.436181;1066.520168;1066.442245;1203.075009;1350.914498;1125.734916;1191.864398;1260.750506
SULAWESI;Gorontalo;734.099;1087.771169;682.3443831;683.7585333;932.1544627;894.5249522;910.0856332;911.7471264;912.1989724;926.3318168;958.5258861;1139.719623;1226.290041;1103.647565;1199.506619;1201.533554
MAPUA;Maluku;960.53;1003.43985;1062.964034;1075.680037;1176.414372;1121.599559;1201.385943;1186.049044;1138.052006;1131.955469;1193.881073;1276.717496;1262.000996;1122.301676;1227.337574;1370.778738
MAPUA;North Maluku;923.951;1256.576837;1016.046376;985.9134915;1164.987314;1121.393548;1215.943844;1226.746071;1177.238027;1125.98536;1157.529394;1186.144929;1373.563042;1245.549359;1349.29338;1336.842999
MAPUA;Papua;1524.139;1578.745549;1360.334669;1280.026203;1532.685905;1494.66593;1575.759858;1567.793549;1491.409822;1540.08248;1625.976089;1632.411764;1900.16015;1686.593657;1827.527632;1813.220127
MAPUA;West Papua;#VALUE!;1590.822;1542.9;1384.345282;1514.422713;1464.153936;1502.882051;1473.170846;1418.115282;1681.754017;1608.671043;1607.103785;1732.6069;1521.404353;1601.448572;1653.15227
SULAWESI;West Sulawesi;#VALUE!;813.587;959.6;986.8588679;1030.777952;1019.450741;1070.628145;1098.543898;1091.409988;1183.069525;1322.121489;1377.350598;1312.290783;1178.392016;1264.232787;1279.340073
INDONESIA;National;914.849;929.6510319;923.3888264;892.9260688;999.3061524;964.3392599;1049.138017;1052.696637;1024.38554;1069.242775;1087.19669;1161.247185;1389.084819;1304.513763;1351.28101;1389.249136
