ID_1;NAME_1;Prov;Province;knn2008;knn2009;knn2010;knn2011;knn2012;knn2013;knn2014;knn2015;knn2016;knn2017;knn2018;knn2019;knn_2020;inv_2008;inv_2009;inv_2010;inv_2011;inv_2012;inv_2013;inv_2014;inv_2015;inv_2016;inv_2017;inv_2018;inv_2019;inv_2020;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;avg_knn;avg_inv
11;Jawa Tengah;CJA;Central Java;957.6698718;1073.692833;1036.358607;1096.885421;1100.821584;1078.50943;1160.997037;1161.680181;1267.525907;1560.921254;1465.497375;1526.924523;1577.86008;865.8256291;957.1443039;928.959483;994.7196726;994.988552;987.1613278;1046.491262;1051.354394;1163.448287;1368.933736;1249.779794;1307.793516;1369.132321;668.8549431;734.1885966;716.7206518;841.0766433;846.2838616;830.0253108;804.9850133;827.3099655;946.3801114;1064.891801;1013.794319;1087.142185;1123.693808;1235.7957;1098.902483
12;Jawa Timur;EJA;East Java;835.4337708;931.4239907;907.6944895;963.5945676;967.1120447;948.2130647;995.0333575;1001.200764;1092.336825;1282.890677;1168.686734;1249.803424;1296.957758;867.3606333;969.3138223;941.4544313;1008.223422;1006.166038;992.5145284;1041.376839;1043.877142;1148.770172;1341.771992;1236.174085;1327.595966;1369.546507;734.6818978;793.6434181;760.8083576;842.1243296;846.8452608;833.5644088;857.9156219;900.2067546;970.3249476;1131.451845;1083.959531;1137.447801;1185.140361;1049.260113;1099.54966
13;Kalimantan Barat;WKL;West Kalimantan;1018.401738;1163.669338;1128.696722;1211.672235;1212.453251;1186.984141;1288.277941;1322.25212;1370.705059;1517.970963;1470.417152;1513.21141;1560.415958;990.8548767;1131.034287;1098.075255;1195.422786;1190.668674;1169.286035;1259.887414;1282.834781;1336.166878;1486.877607;1445.971754;1493.671528;1534.869086;887.2568118;891.7151483;845.5152583;925.2352792;916.6594863;899.3945193;947.5463811;967.7541933;992.8280177;1077.586247;973.7679267;1025.29633;1056.393885;1305.009848;1278.124689
14;Kalimantan Selatan;SKL;South Kalimantan;1000.238611;1089.227913;1050.387743;1117.365905;1109.350394;1088.267585;1157.293722;1173.701092;1255.407384;1408.812054;1304.421653;1400.5014;1418.289619;941.3742913;1042.897218;1014.011637;1072.934199;1071.531013;1057.5347;1117.449107;1134.904322;1213.154571;1362.705125;1276.52701;1357.275563;1375.052021;830.4254359;922.8682904;891.3910137;1013.683501;1001.596261;988.3388343;1123.181704;1085.858043;1082.360905;1254.920232;1193.514443;1205.316864;1269.039915;1197.943467;1156.719291
15;Kalimantan Tengah;CKL;Central Kalimantan;951.9983648;1049.209958;1020.426597;1060.431365;1068.096358;1050.567907;1144.586271;1163.874824;1217.096997;1370.197636;1277.577358;1325.093815;1355.257155;954.355144;1046.972752;1012.929625;1060.336766;1061.78812;1042.557692;1142.588697;1147.149938;1192.886216;1350.964915;1254.649545;1299.885674;1333.984417;857.2431415;975.2134341;957.3090392;1139.799448;1110.551533;1112.171662;1139.347766;1125.640341;1203.909794;1366.158813;1375.145963;1442.675037;1452.079989;1158.031893;1146.234577
16;Kalimantan Timur;EKL;East Kalimantan;882.0482972;968.3278599;948.8621987;1035.722346;1040.563217;1036.725557;1103.246638;1129.276965;1178.723384;1289.51492;1227.890215;1267.519579;1286.616421;863.4301458;972.6516346;956.6357013;1041.235685;1048.214981;1044.855932;1107.605739;1132.619022;1193.806674;1329.874013;1273.349438;1317.046279;1335.065478;1392.207257;1585.598153;1505.402285;1400.207845;1381.916402;1324.808708;1498.32274;1426.345245;1553.182357;1839.144474;1622.782951;1724.354672;1739.69762;1107.310585;1124.337748
17;Kalimantan Utara;NKL;North Kalimantan;967.3228537;1054.151421;1016.430592;1083.972139;1077.046477;1063.211845;1143.386819;1153.507303;1216.497918;1328.40696;1229.512827;1289.259617;1309.577511;1076.230608;1189.944141;1143.346577;1174.164824;1163.254657;1136.501108;1247.475616;1236.196629;1308.409843;1472.853947;1348.578081;1420.474172;1444.615042;880.5599182;1070.656788;1099.991926;1110.709089;1163.01684;1165.890981;1257.481655;1280.963218;1326.535157;1605.792238;1613.047283;1593.914439;1601.931079;1148.637252;1258.618865
18;Kepulauan Riau;RIS;Riau Islands;862.0502795;957.7056064;919.5348822;1010.337865;1009.108263;987.4156881;996.9691079;1009.514108;1046.988755;1143.985749;1060.920995;1144.682183;1176.910972;874.6714345;972.5168284;932.2517666;1020.135662;1016.586854;995.4758933;1005.604994;1013.979704;1050.338234;1153.791629;1071.992031;1151.01183;1179.779845;1365.340389;1528.293706;1455.00614;1610.653346;1644.864043;1574.837404;1702.429068;2026.479973;2010.366096;1901.217885;1897.874075;1905.363387;2051.592817;1025.086497;1033.702824
19;Lampung;LMP;Lampung;964.0525849;1090.602179;1048.690165;1126.128627;1126.464135;1103.657834;1164.990047;1170.598246;1236.694498;1498.602865;1442.260299;1474.062837;1512.724978;928.8391812;1052.307836;1013.65103;1091.387263;1093.122502;1072.89796;1121.730408;1128.120635;1196.122327;1418.951003;1350.352308;1397.572365;1439.017172;733.3745264;781.292927;724.7976621;752.6553306;755.5125975;751.5520383;832.919643;874.8446002;937.9463325;1079.045324;1064.183567;1038.951762;1035.723421;1227.6561;1177.236307
20;Maluku Utara;NML;North Maluku;955.673552;1076.217675;1039.084262;1141.718623;1125.373895;1101.998049;1160.695542;1167.045207;1273.878571;1366.136356;1218.140762;1305.319147;1353.131917;996.2403522;1125.252284;1081.025307;1202.836917;1184.759678;1144.697754;1216.08961;1219.255678;1330.250965;1436.05683;1299.513156;1408.706437;1462.21528;985.9134915;1164.987314;1121.393548;1215.943844;1226.746071;1177.238027;1125.98536;1157.529394;1186.144929;1373.563042;1245.549359;1349.29338;1336.842999;1175.72412;1238.992327
